"Image Name","PID","Session Name","Session#","Mem Usage"
"System Idle Process","0","Services","0","8 K"
"System","4","Services","0","3,112 K"
"Registry","96","Services","0","18,876 K"
"smss.exe","480","Services","0","592 K"
"csrss.exe","696","Services","0","2,328 K"
"wininit.exe","808","Services","0","3,272 K"
"services.exe","884","Services","0","7,740 K"
"lsass.exe","892","Services","0","15,164 K"
"fontdrvhost.exe","1012","Services","0","908 K"
"WUDFHost.exe","1020","Services","0","6,588 K"
"svchost.exe","68","Services","0","888 K"
"svchost.exe","596","Services","0","29,856 K"
"svchost.exe","960","Services","0","12,944 K"
"svchost.exe","1028","Services","0","5,148 K"
"svchost.exe","1316","Services","0","5,380 K"
"svchost.exe","1324","Services","0","4,580 K"
"svchost.exe","1436","Services","0","15,192 K"
"svchost.exe","1576","Services","0","19,008 K"
"svchost.exe","1584","Services","0","6,884 K"
"svchost.exe","1668","Services","0","5,108 K"
"svchost.exe","1688","Services","0","3,848 K"
"svchost.exe","1828","Services","0","10,208 K"
"svchost.exe","1884","Services","0","5,688 K"
"svchost.exe","1896","Services","0","9,636 K"
"svchost.exe","1972","Services","0","6,324 K"
"svchost.exe","2024","Services","0","6,620 K"
"atiesrxx.exe","2160","Services","0","2,228 K"
"svchost.exe","2220","Services","0","3,988 K"
"svchost.exe","2280","Services","0","87,064 K"
"svchost.exe","2288","Services","0","1,428 K"
"svchost.exe","2304","Services","0","4,304 K"
"Memory Compression","2376","Services","0","67,660 K"
"svchost.exe","2424","Services","0","5,116 K"
"igfxCUIService.exe","2452","Services","0","3,384 K"
"svchost.exe","2492","Services","0","4,052 K"
"svchost.exe","2596","Services","0","9,204 K"
"svchost.exe","2656","Services","0","12,308 K"
"RtkAudioService64.exe","2700","Services","0","4,224 K"
"svchost.exe","2732","Services","0","24,728 K"
"svchost.exe","2804","Services","0","2,496 K"
"svchost.exe","2812","Services","0","4,860 K"
"svchost.exe","2820","Services","0","7,360 K"
"svchost.exe","2948","Services","0","3,828 K"
"svchost.exe","3040","Services","0","14,068 K"
"svchost.exe","1508","Services","0","7,476 K"
"AvastSvc.exe","2092","Services","0","243,060 K"
"wlanext.exe","2516","Services","0","5,656 K"
"conhost.exe","2628","Services","0","1,072 K"
"svchost.exe","3444","Services","0","4,020 K"
"dasHost.exe","3480","Services","0","12,760 K"
"svchost.exe","3544","Services","0","5,876 K"
"spoolsv.exe","3616","Services","0","4,844 K"
"svchost.exe","3736","Services","0","2,540 K"
"svchost.exe","3828","Services","0","27,412 K"
"svchost.exe","3836","Services","0","13,744 K"
"svchost.exe","3844","Services","0","13,924 K"
"svchost.exe","3852","Services","0","37,180 K"
"esif_uf.exe","3860","Services","0","3,904 K"
"NBService.exe","3868","Services","0","2,044 K"
"MotoHelperService.exe","3876","Services","0","4,808 K"
"IoctlSvc.exe","3900","Services","0","772 K"
"ForwardDaemon.exe","3944","Services","0","1,340 K"
"svchost.exe","3968","Services","0","1,120 K"
"RtkBtManServ.exe","3988","Services","0","3,280 K"
"SecurityHealthService.exe","4016","Services","0","11,220 K"
"SynTPEnhService.exe","4068","Services","0","2,788 K"
"svchost.exe","4084","Services","0","5,324 K"
"svchost.exe","3316","Services","0","1,672 K"
"TeamViewer_Service.exe","3332","Services","0","6,820 K"
"UCService.exe","3360","Services","0","4,936 K"
"Lavasoft.WCAssistant.WinService.exe","3388","Services","0","5,308 K"
"svchost.exe","3424","Services","0","15,028 K"
"WsAppService.exe","1616","Services","0","6,764 K"
"svchost.exe","4212","Services","0","7,576 K"
"svchost.exe","4464","Services","0","1,688 K"
"svchost.exe","4720","Services","0","3,592 K"
"svchost.exe","4860","Services","0","4,508 K"
"svchost.exe","4880","Services","0","5,108 K"
"svchost.exe","5904","Services","0","4,084 K"
"aswidsagent.exe","4796","Services","0","47,132 K"
"svchost.exe","5628","Services","0","28,088 K"
"svchost.exe","3984","Services","0","13,040 K"
"svchost.exe","3468","Services","0","6,528 K"
"svchost.exe","4132","Services","0","3,388 K"
"svchost.exe","7148","Services","0","12,192 K"
"svchost.exe","4852","Services","0","3,304 K"
"svchost.exe","3748","Services","0","12,504 K"
"svchost.exe","7996","Services","0","4,348 K"
"AdaptiveSleepService.exe","7648","Services","0","2,692 K"
"AvastBrowserCrashHandler.exe","9208","Services","0","164 K"
"GoogleCrashHandler.exe","8276","Services","0","148 K"
"SgrmBroker.exe","8816","Services","0","3,660 K"
"GoogleCrashHandler64.exe","7796","Services","0","108 K"
"SearchIndexer.exe","7612","Services","0","51,068 K"
"AvastBrowserCrashHandler64.exe","2352","Services","0","112 K"
"svchost.exe","4696","Services","0","6,876 K"
"OSPPSVC.EXE","21752","Services","0","9,540 K"
"svchost.exe","30792","Services","0","6,408 K"
"svchost.exe","19820","Services","0","9,156 K"
"svchost.exe","22520","Services","0","3,372 K"
"svchost.exe","5936","Services","0","2,052 K"
"svchost.exe","9920","Services","0","11,300 K"
"svchost.exe","41600","Services","0","2,620 K"
"svchost.exe","2120","Services","0","1,720 K"
"dllhost.exe","24816","Services","0","10,392 K"
"sedsvc.exe","56636","Services","0","11,888 K"
"QMEmulatorService.exe","58272","Services","0","7,576 K"
"csrss.exe","33556","Console","13","5,812 K"
"winlogon.exe","74060","Console","13","9,060 K"
"fontdrvhost.exe","72960","Console","13","19,980 K"
"dwm.exe","77672","Console","13","87,404 K"
"atieclxx.exe","64264","Console","13","9,520 K"
"sedlauncher.exe","42740","Services","0","2,348 K"
"conhost.exe","26012","Services","0","436 K"
"SynTPEnh.exe","39932","Console","13","22,308 K"
"esif_assist_64.exe","6148","Console","13","5,140 K"
"RAVBg64.exe","70888","Console","13","15,168 K"
"sihost.exe","39636","Console","13","25,420 K"
"svchost.exe","62316","Console","13","31,404 K"
"svchost.exe","46304","Console","13","32,832 K"
"taskhostw.exe","72600","Console","13","21,668 K"
"MotoHelperAgent.exe","27448","Console","13","11,632 K"
"explorer.exe","66828","Console","13","150,772 K"
"SynTPHelper.exe","58136","Console","13","4,628 K"
"igfxEM.exe","31544","Console","13","12,748 K"
"ShellExperienceHost.exe","59224","Console","13","92,200 K"
"SearchUI.exe","68144","Console","13","148,860 K"
"RuntimeBroker.exe","44060","Console","13","27,156 K"
"RuntimeBroker.exe","40252","Console","13","16,556 K"
"SkypeBackgroundHost.exe","47620","Console","13","11,596 K"
"SkypeApp.exe","43552","Console","13","37,928 K"
"dllhost.exe","60776","Console","13","6,876 K"
"ctfmon.exe","68128","Console","13","15,452 K"
"MSASCuiL.exe","36484","Console","13","9,324 K"
"RtkNGUI64.exe","58768","Console","13","16,868 K"
"SettingSyncHost.exe","30692","Console","13","3,860 K"
"OneDrive.exe","65064","Console","13","66,468 K"
"Skype.exe","48000","Console","13","110,268 K"
"MSOSYNC.EXE","2480","Console","13","14,796 K"
"WebCompanion.exe","32924","Console","13","95,620 K"
"uTorrent.exe","62028","Console","13","39,988 K"
"RuntimeBroker.exe","20956","Console","13","11,244 K"
"utorrentie.exe","58524","Console","13","68,076 K"
"AvastUI.exe","47704","Console","13","61,500 K"
"YCMMirage.exe","13776","Console","13","8,612 K"
"YouCamTray.exe","22008","Console","13","9,796 K"
"acrotray.exe","65048","Console","13","7,656 K"
"utorrentie.exe","64156","Console","13","55,608 K"
"jusched.exe","27048","Console","13","7,396 K"
"svchost.exe","45752","Console","13","11,452 K"
"svchost.exe","67404","Services","0","22,136 K"
"dllhost.exe","38880","Console","13","9,968 K"
"RuntimeBroker.exe","26288","Console","13","15,800 K"
"unsecapp.exe","27144","Services","0","6,696 K"
"cmd.exe","67420","Console","13","4,680 K"
"conhost.exe","35924","Console","13","15,488 K"
"python.exe","59396","Console","13","24,652 K"
"python.exe","58384","Console","13","29,416 K"
"chrome.exe","52040","Console","13","107,028 K"
"chrome.exe","28228","Console","13","8,456 K"
"chrome.exe","12852","Console","13","9,164 K"
"chrome.exe","22052","Console","13","182,512 K"
"chrome.exe","8900","Console","13","35,280 K"
"chrome.exe","61692","Console","13","79,912 K"
"RuntimeBroker.exe","58340","Console","13","25,416 K"
"ApplicationFrameHost.exe","43348","Console","13","34,380 K"
"MicrosoftEdge.exe","20848","Console","13","50,180 K"
"browser_broker.exe","20612","Console","13","9,332 K"
"RuntimeBroker.exe","9312","Console","13","7,124 K"
"MicrosoftEdgeCP.exe","47976","Console","13","22,880 K"
"MicrosoftEdgeCP.exe","30448","Console","13","25,304 K"
"WinStore.App.exe","50560","Console","13","71,984 K"
"Video.UI.exe","54400","Console","13","36,456 K"
"UCAgent.exe","30204","Console","13","10,100 K"
