"Image Name","PID","Session Name","Session#","Mem Usage","Status","User Name","CPU Time","Window Title"
"System Idle Process","0","Services","0","8 K","Unknown","NT AUTHORITY\SYSTEM","165:04:31","N/A"
"System","4","Services","0","7,616 K","Unknown","N/A","1:35:31","N/A"
"Registry","120","Services","0","15,860 K","Unknown","NT AUTHORITY\SYSTEM","0:00:08","N/A"
"smss.exe","444","Services","0","488 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"csrss.exe","740","Services","0","1,860 K","Unknown","NT AUTHORITY\SYSTEM","0:00:09","N/A"
"wininit.exe","856","Services","0","2,220 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"services.exe","928","Services","0","6,348 K","Unknown","NT AUTHORITY\SYSTEM","0:04:35","N/A"
"lsass.exe","948","Services","0","11,584 K","Unknown","NT AUTHORITY\SYSTEM","0:01:07","N/A"
"svchost.exe","308","Services","0","404 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"svchost.exe","488","Services","0","23,644 K","Unknown","NT AUTHORITY\SYSTEM","0:17:15","N/A"
"WUDFHost.exe","656","Services","0","5,916 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:03","N/A"
"fontdrvhost.exe","680","Services","0","884 K","Unknown","Font Driver Host\UMFD-0","0:00:00","N/A"
"svchost.exe","1128","Services","0","11,732 K","Unknown","NT AUTHORITY\NETWORK SERVICE","0:03:50","N/A"
"svchost.exe","1184","Services","0","4,864 K","Unknown","NT AUTHORITY\SYSTEM","0:00:05","N/A"
"svchost.exe","1344","Services","0","1,532 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:00","N/A"
"svchost.exe","1352","Services","0","5,064 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:00","N/A"
"svchost.exe","1464","Services","0","4,244 K","Unknown","NT AUTHORITY\SYSTEM","0:00:02","N/A"
"svchost.exe","1512","Services","0","1,508 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"svchost.exe","1656","Services","0","4,428 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:01","N/A"
"svchost.exe","1688","Services","0","11,120 K","Unknown","NT AUTHORITY\SYSTEM","0:00:09","N/A"
"svchost.exe","1784","Services","0","4,356 K","Unknown","NT AUTHORITY\SYSTEM","0:00:07","N/A"
"svchost.exe","1840","Services","0","9,628 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:03:40","N/A"
"svchost.exe","1876","Services","0","3,284 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:07","N/A"
"svchost.exe","1904","Services","0","3,684 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:28","N/A"
"svchost.exe","1956","Services","0","7,580 K","Unknown","NT AUTHORITY\SYSTEM","0:00:07","N/A"
"atiesrxx.exe","2040","Services","0","1,576 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"svchost.exe","1288","Services","0","2,248 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:00","N/A"
"svchost.exe","1728","Services","0","2,288 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"svchost.exe","2092","Services","0","5,300 K","Unknown","NT AUTHORITY\SYSTEM","0:00:01","N/A"
"svchost.exe","2100","Services","0","83,224 K","Unknown","NT AUTHORITY\SYSTEM","0:29:10","N/A"
"svchost.exe","2108","Services","0","1,364 K","Unknown","NT AUTHORITY\SYSTEM","0:00:01","N/A"
"svchost.exe","2116","Services","0","3,612 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:01","N/A"
"svchost.exe","2232","Services","0","2,012 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:00","N/A"
"Memory Compression","2292","Services","0","3,86,116 K","Unknown","NT AUTHORITY\SYSTEM","0:05:18","N/A"
"svchost.exe","2360","Services","0","7,416 K","Unknown","NT AUTHORITY\NETWORK SERVICE","0:00:42","N/A"
"svchost.exe","2368","Services","0","10,548 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:04:49","N/A"
"svchost.exe","2380","Services","0","4,116 K","Unknown","NT AUTHORITY\SYSTEM","0:00:01","N/A"
"igfxCUIService.exe","2456","Services","0","2,756 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"svchost.exe","2500","Services","0","6,000 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:02:21","N/A"
"svchost.exe","2540","Services","0","3,728 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:01","N/A"
"svchost.exe","2536","Services","0","3,272 K","Unknown","NT AUTHORITY\SYSTEM","0:00:02","N/A"
"svchost.exe","2704","Services","0","6,052 K","Unknown","NT AUTHORITY\SYSTEM","0:00:07","N/A"
"svchost.exe","2796","Services","0","3,592 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:00","N/A"
"svchost.exe","2860","Services","0","7,976 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:20","N/A"
"svchost.exe","3068","Services","0","12,424 K","Unknown","NT AUTHORITY\SYSTEM","0:01:47","N/A"
"PresentationFontCache.exe","3416","Services","0","2,192 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:00","N/A"
"svchost.exe","3688","Services","0","2,540 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"svchost.exe","3900","Services","0","11,720 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:02","N/A"
"svchost.exe","2908","Services","0","6,372 K","Unknown","NT AUTHORITY\SYSTEM","0:00:01","N/A"
"svchost.exe","3224","Services","0","13,720 K","Unknown","NT AUTHORITY\SYSTEM","0:00:10","N/A"
"RtkAudioService64.exe","1144","Services","0","2,220 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"svchost.exe","3896","Services","0","2,676 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:02","N/A"
"svchost.exe","3880","Services","0","4,496 K","Unknown","NT AUTHORITY\NETWORK SERVICE","0:00:50","N/A"
"svchost.exe","3892","Services","0","6,504 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:08","N/A"
"svchost.exe","4104","Services","0","3,788 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:15","N/A"
"svchost.exe","4292","Services","0","9,064 K","Unknown","NT AUTHORITY\SYSTEM","0:00:49","N/A"
"svchost.exe","4320","Services","0","3,652 K","Unknown","NT AUTHORITY\SYSTEM","0:00:01","N/A"
"spoolsv.exe","4440","Services","0","4,568 K","Unknown","NT AUTHORITY\SYSTEM","0:00:02","N/A"
"svchost.exe","4480","Services","0","11,208 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:05","N/A"
"svchost.exe","4560","Services","0","2,576 K","Unknown","NT AUTHORITY\NETWORK SERVICE","0:00:02","N/A"
"svchost.exe","4680","Services","0","1,916 K","Unknown","NT AUTHORITY\SYSTEM","0:00:05","N/A"
"svchost.exe","4688","Services","0","2,920 K","Unknown","NT AUTHORITY\NETWORK SERVICE","0:00:21","N/A"
"svchost.exe","4816","Services","0","22,668 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:02:21","N/A"
"svchost.exe","4840","Services","0","7,212 K","Unknown","NT AUTHORITY\NETWORK SERVICE","0:00:06","N/A"
"svchost.exe","4856","Services","0","20,264 K","Unknown","NT AUTHORITY\SYSTEM","0:00:14","N/A"
"svchost.exe","4864","Services","0","13,556 K","Unknown","NT AUTHORITY\SYSTEM","0:00:08","N/A"
"svchost.exe","4868","Services","0","2,552 K","Unknown","NT AUTHORITY\NETWORK SERVICE","0:00:01","N/A"
"svchost.exe","4880","Services","0","14,168 K","Unknown","NT AUTHORITY\SYSTEM","0:01:15","N/A"
"svchost.exe","4888","Services","0","2,372 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:02","N/A"
"svchost.exe","4896","Services","0","1,648 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"svchost.exe","5076","Services","0","5,164 K","Unknown","NT AUTHORITY\SYSTEM","0:00:02","N/A"
"svchost.exe","5084","Services","0","980 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:00","N/A"
"AdminService.exe","4368","Services","0","2,056 K","Unknown","NT AUTHORITY\SYSTEM","0:00:14","N/A"
"SmartByteNetworkService.exe","4504","Services","0","37,716 K","Unknown","NT AUTHORITY\SYSTEM","0:13:42","N/A"
"SecurityHealthService.exe","4636","Services","0","6,416 K","Unknown","NT AUTHORITY\SYSTEM","0:00:13","N/A"
"MotoHelperService.exe","4652","Services","0","3,252 K","Unknown","NT AUTHORITY\SYSTEM","0:00:01","N/A"
"ForwardDaemon.exe","5128","Services","0","1,004 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"esif_uf.exe","5140","Services","0","1,812 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"mfemms.exe","5244","Services","0","2,796 K","Unknown","NT AUTHORITY\SYSTEM","0:00:11","N/A"
"QcomWlanSrvx64.exe","5264","Services","0","1,248 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
