"Image Name","PID","Session Name","Session#","Mem Usage"
"System Idle Process","0","Services","0","8 K"
"System","4","Services","0","1,404 K"
"Registry","120","Services","0","45,480 K"
"smss.exe","444","Services","0","8 K"
"csrss.exe","740","Services","0","1,848 K"
"wininit.exe","856","Services","0","204 K"
"services.exe","928","Services","0","5,492 K"
"lsass.exe","948","Services","0","9,580 K"
"svchost.exe","308","Services","0","288 K"
"svchost.exe","488","Services","0","17,412 K"
"WUDFHost.exe","656","Services","0","2,252 K"
"fontdrvhost.exe","680","Services","0","228 K"
"svchost.exe","1128","Services","0","10,304 K"
"svchost.exe","1184","Services","0","2,944 K"
"svchost.exe","1344","Services","0","1,100 K"
"svchost.exe","1352","Services","0","2,860 K"
"svchost.exe","1464","Services","0","388 K"
"svchost.exe","1512","Services","0","240 K"
"svchost.exe","1656","Services","0","4,024 K"
"svchost.exe","1688","Services","0","5,912 K"
"svchost.exe","1784","Services","0","3,828 K"
"svchost.exe","1840","Services","0","8,720 K"
"svchost.exe","1876","Services","0","3,420 K"
"svchost.exe","1904","Services","0","3,132 K"
"svchost.exe","1956","Services","0","6,716 K"
"atiesrxx.exe","2040","Services","0","324 K"
"svchost.exe","1288","Services","0","1,316 K"
"svchost.exe","1728","Services","0","452 K"
"svchost.exe","2092","Services","0","4,788 K"
"svchost.exe","2100","Services","0","79,544 K"
"svchost.exe","2108","Services","0","868 K"
"svchost.exe","2116","Services","0","900 K"
"svchost.exe","2232","Services","0","2,068 K"
"Memory Compression","2292","Services","0","1,23,192 K"
"svchost.exe","2360","Services","0","5,428 K"
"svchost.exe","2368","Services","0","8,556 K"
"svchost.exe","2380","Services","0","920 K"
"igfxCUIService.exe","2456","Services","0","720 K"
"svchost.exe","2500","Services","0","5,028 K"
"svchost.exe","2540","Services","0","1,524 K"
"svchost.exe","2536","Services","0","836 K"
"svchost.exe","2704","Services","0","4,532 K"
"svchost.exe","2796","Services","0","1,056 K"
"svchost.exe","2860","Services","0","4,824 K"
"svchost.exe","3068","Services","0","9,324 K"
